,adjective,noun,
0,pikk,naer,Yes
1,kauge,naer,No
2,konkreetne,erakond,Yes
3,minimalistlik,erakond,No
4,plastiline,kirurg,Yes
5,paindlik,kirurg,Yes
6,suur,maksukoormus,Yes
7,kõrge,maksukoormus,No
8,kodumaine,pakkuja,Yes
9,riigisisene,pakkuja,Yes
10,kahjustav,töötaja,Yes
11,ebaotstarbekas,töötaja,Yes
12,õdus,õhtupoolik,Yes
13,meeldiv,õhtupoolik,Yes
14,uus,mobiiltelefon,Yes
15,originaalne,mobiiltelefon,Yes
16,laialdane,autonoomia,No
17,lai,autonoomia,Yes
18,ajalooline,huvi,Yes
19,keskaegne,huvi,No
20,lõplik,seisukoht,Yes
21,viimane,seisukoht,Yes
22,vajalik,ümberkorraldus,Yes
23,hädavajalik,ümberkorraldus,Yes
24,suur,huvi,Yes
25,sügav,huvi,Yes
26,õpitav,eriala,Yes
27,õpetlik,eriala,Yes
28,ürgne,usund,Yes
29,algne,usund,No
30,suur,ülekoormus,Yes
31,sügav,ülekoormus,No
32,välimine,mina,Yes
33,väline,mina,Yes
34,kodune,tund,Yes
35,mitteametlik,tund,Yes
36,uus,büroo,Yes
37,originaalne,büroo,Yes
38,uus,naine,Yes
39,originaalne,naine,Yes
40,õllene,naine,Yes
41,ebakaine,naine,Yes
42,asjalik,leht,Yes
43,ettenägelik,leht,Yes
44,toonane,teater,Yes
45,vana,teater,Yes
46,endine,pank,Yes
47,läinud,pank,No
48,riiklik,majandussektor,Yes
49,poliitiline,majandussektor,No
50,omaaegne,diplom,Yes
51,läinud,diplom,No
52,siiras,iroonia,Yes
53,ehe,iroonia,Yes
54,viimane,pätt,Yes
55,püsiv,pätt,No
56,uus,näitus,Yes
57,originaalne,näitus,Yes
58,ettearvamatu,valmisolek,No
59,ennustamatu,valmisolek,Yes
60,ametlik,propaganda,Yes
61,täieõiguslik,propaganda,Yes
62,pikaajaline,baas,Yes
63,pikk,baas,No
64,toonane,õhustik,Yes
65,omaaegne,õhustik,Yes
66,silmapaistev,anne,Yes
67,huvitav,anne,Yes
68,poliitiline,süsteem,Yes
69,riiklik,süsteem,Yes
70,omaaegne,töö,Yes
71,läinud,töö,No
72,räpane,tegevus,Yes
73,tolmune,tegevus,No
74,uus,tööandja,Yes
75,originaalne,tööandja,Yes
76,konkreetne,lõik,Yes
77,minimalistlik,lõik,No
78,uus,komme,Yes
79,originaalne,komme,Yes
80,suur,üleelamine,Yes
81,sügav,üleelamine,No
82,moraalne,kahi,No
83,eetiline,kahi,No
84,endine,mõnu,Yes
85,läinud,mõnu,No
86,tüütu,pisiasi,Yes
87,pealetükkiv,pisiasi,Yes
88,vajalik,süsteem,Yes
89,hädavajalik,süsteem,Yes
90,suur,rahu,No
91,sügav,rahu,Yes
92,kunagine,aktsionär,Yes
93,omaaegne,aktsionär,Yes
94,arenev,süsteem,Yes
95,aktiivne,süsteem,Yes
96,endine,alluv,Yes
97,omaaegne,alluv,Yes
98,unine,olek,Yes
99,väsinud,olek,Yes
100,suur,summa,Yes
101,kõrge,summa,Yes
102,suur,tuli,Yes
103,kõrge,tuli,Yes
104,hiljutine,pressikonverents,Yes
105,uus,pressikonverents,Yes
106,ere,pilt,Yes
107,intensiivne,pilt,No
108,andekas,näitlejatar,Yes
109,loov,näitlejatar,Yes
110,väike,osalus,Yes
111,madal,osalus,No
112,peamine,mure,Yes
113,eriline,mure,Yes
114,uus,lavastus,Yes
115,originaalne,lavastus,Yes
116,ajatu,elu,No
117,igavene,elu,Yes
118,vajalik,investeering,Yes
119,hädavajalik,investeering,Yes
120,ajalooline,sõna,Yes
121,keskaegne,sõna,Yes
122,positiivne,suhtumine,Yes
123,hea,suhtumine,Yes
124,peatne,abiellumine,Yes
125,homne,abiellumine,Yes
126,toonane,esimees,Yes
127,omaaegne,esimees,Yes
128,käegakatsutav,lõpp,Yes
129,aineline,lõpp,No
130,lugupeetud,esimees,Yes
131,auväärne,esimees,Yes
132,kunagine,peadirektor,Yes
133,omaaegne,peadirektor,Yes
134,saabuv,relv,Yes
135,homne,relv,No
136,peatne,pulm,Yes
137,homne,pulm,Yes
138,sotsiaalne,häda,Yes
139,seltsiv,häda,No
140,väike,konjak,Yes
141,noor,konjak,Yes
142,pikk,kapp,Yes
143,kauge,kapp,No
144,klassikaline,stiil,Yes
145,standardne,stiil,Yes
146,viimane,kommunist,Yes
147,püsiv,kommunist,Yes
148,viimane,sitt,Yes
149,püsiv,sitt,Yes
150,toonane,äriidee,Yes
151,vana,äriidee,Yes
152,uus,mängureegel,Yes
153,originaalne,mängureegel,Yes
154,efektiivne,side,Yes
155,mõjukas,side,No
156,riiklik,stipendium,Yes
157,poliitiline,stipendium,Yes
158,suur,õppus,Yes
159,sügav,õppus,No
160,järgmine,reis,Yes
161,järgnev,reis,Yes
162,väike,kodumaa,Yes
163,noor,kodumaa,Yes
164,pikk,kasv,Yes
165,kauge,kasv,No
166,ametlik,kunstnik,No
167,täieõiguslik,kunstnik,Yes
168,kaasaegne,kunst,Yes
169,popp,kunst,Yes
170,peamine,konkurent,Yes
171,eriline,konkurent,Yes
172,keskmine,doos,Yes
173,vahepealne,doos,Yes
174,viimane,kooskõla,No
175,püsiv,kooskõla,Yes
176,otsene,ohver,Yes
177,esmane,ohver,Yes
178,mõistetav,muster,No
179,arusaadav,muster,Yes
180,pikk,tänav,Yes
181,kauge,tänav,Yes
182,kunagine,laulja,Yes
183,omaaegne,laulja,Yes
184,soliidne,koht,Yes
185,auväärne,koht,Yes
186,hiljutine,reis,Yes
187,uus,reis,Yes
188,suur,väli,Yes
189,sügav,väli,No
190,maitsev,õhtusöök,Yes
191,hõrk,õhtusöök,Yes
192,väike,toetus,Yes
193,madal,toetus,Yes
194,viimane,direktor,Yes
195,püsiv,direktor,Yes
196,valitsustevaheline,kliimamuutus,No
197,internatsionaalne,kliimamuutus,Yes
198,lootusetu,ettevõtmine,Yes
199,kriitiline,ettevõtmine,No