,subject,verb,object,hindaja1
0,valitsus,kutsuma,tema,yes
1,tema,kutsuma,valitsus,yes
2,keegi,ennustama,aasta,yes
3,aasta,ennustama,keegi,no
4,töö,andma,kogemus,yes
5,kogemus,andma,töö,yes
6,laps,tekitama,pinge,yes
7,pinge,tekitama,laps,no
8,eestlane,mäletama,missioon,yes
9,missioon,mäletama,eestlane,no
10,pool,hoidma,ise,yes
11,ise,hoidma,pool,yes
12,mina,andma,pass,yes
13,pass,andma,mina,no
14,mina,tahtma,buss,yes
15,buss,tahtma,mina,no
16,mina,kogema,miski,yes
17,miski,kogema,mina,no
18,tema,vajama,nõustamine,yes
19,nõustamine,vajama,tema,no
20,kohtumine,võtma,jalg,no
21,jalg,võtma,kohtumine,no
22,käitumine,tähendama,loobumine,yes
23,loobumine,tähendama,käitumine,no
24,ülevaatus,tagama,kinnipidamine,yes
25,kinnipidamine,tagama,ülevaatus,yes
26,valimine,võitma,mahl,no
27,mahl,võitma,valimine,no
28,tema,rajama,edu,yes
29,edu,rajama,tema,no
30,isa,väljendama,ise,yes
31,ise,väljendama,isa,no
32,tema,tõstma,olukord,yes
33,olukord,tõstma,tema,no
34,kaart,leidma,kujutamine,yes
35,kujutamine,leidma,kaart,no
36,ema,tooma,mina,yes
37,mina,tooma,ema,yes
38,teenistuja,korraldama,stseen,yes
39,stseen,korraldama,teenistuja,no
40,kongress,lubama,aastaeelarve,yes
41,aastaeelarve,lubama,kongress,no
42,Anna,tunnetama,vastuseis,yes
43,vastuseis,tunnetama,Anna,no
44,mees,mõõtma,temperatuur,yes
45,temperatuur,mõõtma,mees,no
46,poiss,kaotama,ema,yes
47,ema,kaotama,poiss,yes
48,mina,näima,tütar,yes
49,tütar,näima,mina,yes
50,Kersti,ühendama,hobi,yes
51,hobi,ühendama,Kersti,no
52,sina,nautima,mis,yes
53,mis,nautima,sina,no
54,väikeriik,mängima,roll,yes
55,roll,mängima,väikeriik,no
56,suhe,võtma,tuur,yes
57,tuur,võtma,suhe,no
58,juhtum,tõendama,see,yes
59,see,tõendama,juhtum,yes
60,see,tervendama,mina,yes
61,mina,tervendama,see,yes
62,tema,pantima,maja,yes
63,maja,pantima,tema,no
64,palestiinlane,pilduma,kivi,yes
65,kivi,pilduma,palestiinlane,no
66,suurenemine,näitama,toitumine,yes
67,toitumine,näitama,suurenemine,yes
68,mina,saama,maja,yes
69,maja,saama,mina,no
70,lähedane,süüdistama,Tanel,yes
71,Tanel,süüdistama,lähedane,yes
72,olümpia,viima,ennustus,no
73,ennustus,viima,olümpia,no
74,piirileping,sulgema,lehekülg,yes
75,lehekülg,sulgema,piirileping,no
76,tema,kuulama,jutt,yes
77,jutt,kuulama,tema,no
78,mina,ootama,jõudmine,yes
79,jõudmine,ootama,mina,no
80,riik,rikkuma,leping,yes
81,leping,rikkuma,riik,no
82,mina,muutma,samm,yes
83,samm,muutma,mina,no
84,see,panema,Ameerika,yes
85,Ameerika,panema,see,yes
86,mudel,pidama,partnerlus,no
87,partnerlus,pidama,mudel,no
88,poiss,haarama,asi,yes
89,asi,haarama,poiss,no
90,tema,meenutama,aeg,yes
91,aeg,meenutama,tema,no
92,sisu,uppuma,loog,no
93,loog,uppuma,sisu,no
94,leping,muutma,riik,yes
95,riik,muutma,leping,yes
96,töögrupp,kinnitama,see,yes
97,see,kinnitama,töögrupp,yes
98,süstimine,tegema,miski,yes
99,miski,tegema,süstimine,no
100,asi,ajama,mina,yes
101,mina,ajama,asi,yes
102,see,näitama,hüve,yes
103,hüve,näitama,see,no
104,tema,viima,külaline,yes
105,külaline,viima,tema,yes
106,eestlane,saama,mobiiltelefon,yes
107,mobiiltelefon,saama,eestlane,no
108,tema,tegema,miski,yes
109,miski,tegema,tema,yes
110,Savisaar,heitma,pilk,yes
111,pilk,heitma,Savisaar,no
112,tema,rääkima,kõik,yes
113,kõik,rääkima,tema,yes
114,ettevõtja,tegema,mis,yes
115,mis,tegema,ettevõtja,no
116,tätoveering,ehtima,õlg,yes
117,õlg,ehtima,tätoveering,no
118,tema,andma,intervjuu,yes
119,intervjuu,andma,tema,no
120,paavst,viibutama,sõrm,yes
121,sõrm,viibutama,paavst,no
122,inimene,otsima,töö,yes
123,töö,otsima,inimene,no
124,autosõit,muutma,jalg,no
125,jalg,muutma,autosõit,no
126,mina,tegema,tema,yes
127,tema,tegema,mina,yes
128,Ühendriik,tunnustama,tema,yes
129,tema,tunnustama,Ühendriik,yes
130,pruut,katkestama,see,yes
131,see,katkestama,pruut,yes
132,sina,vahetama,mähe,yes
133,mähe,vahetama,sina,no
134,saatmine,tähendama,ahistamine,no
135,ahistamine,tähendama,saatmine,no
136,mats,tundma,ise,yes
137,ise,tundma,mats,yes
138,see,tähendama,stabiilsus,yes
139,stabiilsus,tähendama,see,yes
140,tema,panema,küünal,yes
141,küünal,panema,tema,yes
142,tema,jätma,poja,yes
143,poja,jätma,tema,yes
144,väide,lükkama,tulemus,no
145,tulemus,lükkama,väide,yes
146,arvamus,langema,põhjus,no
147,põhjus,langema,arvamus,no
148,see,katma,kulg,yes
149,kulg,katma,see,no
150,tulemus,kinnitama,see,yes
151,see,kinnitama,tulemus,yes
152,reklaamikampaania,sõlmima,liitumisleping,no
153,liitumisleping,sõlmima,reklaamikampaania,no
154,voog,ületama,piir,yes
155,piir,ületama,voog,no
156,ülem,andma,käskkiri,yes
157,käskkiri,andma,ülem,no
158,mina,tõmbama,tuur,yes
159,tuur,tõmbama,mina,yes
160,see,muutma,Savisaar,yes
161,Savisaar,muutma,see,yes
162,tema,mäletama,see,yes
163,see,mäletama,tema,no
164,see,seletama,suhe,yes
165,suhe,seletama,see,yes
166,järjekindlus,kandma,vili,yes
167,vili,kandma,järjekindlus,no
168,muu,mõistma,tema,yes
169,tema,mõistma,muu,yes
170,ülem,valmistama,dokument,yes
171,dokument,valmistama,ülem,no
172,luup,avaldama,nimekiri,no
173,nimekiri,avaldama,luup,no
174,poliitik,leidma,vastuväide,yes
175,vastuväide,leidma,poliitik,no
176,arvutus,lõhnama,absurd,no
177,absurd,lõhnama,arvutus,no
178,vald,kandma,ülalpidamiskulu,yes
179,ülalpidamiskulu,kandma,vald,no
180,mina,sööma,sült,yes
181,sült,sööma,mina,no
182,aju,jätma,sõna,yes
183,sõna,jätma,aju,no
184,mikroob,huvitama,uurija,yes
185,uurija,huvitama,mikroob,no
186,mina,suruma,käsi,yes
187,käsi,suruma,mina,no
188,elu,pakkuma,kogemus,yes
189,kogemus,pakkuma,elu,no
190,see,kompenseerima,asetus,yes
191,asetus,kompenseerima,see,yes
192,tema,pidurdama,agressiivsus,yes
193,agressiivsus,pidurdama,tema,yes
194,Ivo,pidama,sina,yes
195,sina,pidama,Ivo,yes
196,eestlane,kaotama,hing,yes
197,hing,kaotama,eestlane,no
198,mina,tegema,asi,yes
199,asi,tegema,mina,no
